"C:\DIANA\Section B\VolatilityWorkbench\vol.exe" -f "D:\SectionB\RAM Capture\RAM CAPTURE 3.raw" windows.ldrmodules.LdrModules 
Volatility 3 Framework 2.5.0
Pid	Process	Base	InLoad	InInit	InMem	MappedPath
788	lsass.exe	0x77050000	True	True	True	\Windows\System32\msvcrt.dll
788	lsass.exe	0x74bc0000	True	True	True	\Windows\System32\crypt32.dll
788	lsass.exe	0x74ad0000	True	True	True	\Windows\System32\bcryptprimitives.dll
788	lsass.exe	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
788	lsass.exe	0x755c0000	True	True	True	\Windows\System32\Wldap32.dll
788	lsass.exe	0x75530000	True	True	True	\Windows\System32\wintrust.dll
788	lsass.exe	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
788	lsass.exe	0x75710000	True	True	True	\Windows\System32\nsi.dll
788	lsass.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll
788	lsass.exe	0x76fd0000	True	True	True	\Windows\System32\advapi32.dll
788	lsass.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
788	lsass.exe	0x77340000	True	True	True	\Windows\System32\sechost.dll
788	lsass.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
788	lsass.exe	0x77900000	True	True	True	\Windows\System32\oleaut32.dll
788	lsass.exe	0x775a0000	True	True	True	\Windows\System32\combase.dll
816	winlogon.exe	0x73ab0000	True	True	True	\Windows\System32\fwbase.dll
816	winlogon.exe	0x760000	False	False	False	\Windows\System32\en-US\user32.dll.mui
816	winlogon.exe	0xb00000	True	False	True	\Windows\System32\winlogon.exe
816	winlogon.exe	0x70390000	True	True	True	\Windows\System32\usermgrcli.dll
816	winlogon.exe	0x68560000	True	True	True	\Windows\System32\mpr.dll
816	winlogon.exe	0x730a0000	True	True	True	\Windows\System32\uxtheme.dll
816	winlogon.exe	0x72fe0000	True	True	True	\Windows\System32\apphelp.dll
816	winlogon.exe	0x73080000	True	True	True	\Windows\System32\dwminit.dll
816	winlogon.exe	0x73120000	True	True	True	\Windows\System32\UXInit.dll
816	winlogon.exe	0x732c0000	True	True	True	\Windows\System32\dwmapi.dll
816	winlogon.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
816	winlogon.exe	0x74330000	True	True	True	\Windows\System32\bcrypt.dll
816	winlogon.exe	0x73ba0000	True	True	True	\Windows\System32\winsta.dll
816	winlogon.exe	0x73b50000	True	True	True	\Windows\System32\ntmarta.dll
816	winlogon.exe	0x73ae0000	True	True	True	\Windows\System32\FirewallAPI.dll
816	winlogon.exe	0x73b80000	True	True	True	\Windows\System32\profext.dll
816	winlogon.exe	0x73d80000	True	True	True	\Windows\System32\dpapi.dll
816	winlogon.exe	0x74250000	True	True	True	\Windows\System32\cryptbase.dll
816	winlogon.exe	0x74730000	True	True	True	\Windows\System32\powrprof.dll
816	winlogon.exe	0x74660000	True	True	True	\Windows\System32\sspicli.dll
816	winlogon.exe	0x74630000	True	True	True	\Windows\System32\userenv.dll
816	winlogon.exe	0x74780000	True	True	True	\Windows\System32\kernel.appcore.dll
816	winlogon.exe	0x747a0000	True	True	True	\Windows\System32\profapi.dll
816	winlogon.exe	0x77050000	True	True	True	\Windows\System32\msvcrt.dll
816	winlogon.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll
816	winlogon.exe	0x74d60000	True	True	True	\Windows\System32\gdi32full.dll
816	winlogon.exe	0x74ad0000	True	True	True	\Windows\System32\bcryptprimitives.dll
816	winlogon.exe	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
816	winlogon.exe	0x74bc0000	True	True	True	\Windows\System32\crypt32.dll

816	winlogon.exe	0x74ed0000	True	True	True	\Windows\System32\win32u.dll
816	winlogon.exe	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
816	winlogon.exe	0x76fa0000	True	True	True	\Windows\System32\imm32.dll
816	winlogon.exe	0x76f10000	True	True	True	\Windows\System32\gdi32.dll
816	winlogon.exe	0x76fd0000	True	True	True	\Windows\System32\advapi32.dll
816	winlogon.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
816	winlogon.exe	0x77340000	True	True	True	\Windows\System32\sechost.dll
816	winlogon.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
816	winlogon.exe	0x77420000	True	True	True	\Windows\System32\user32.dll
816	winlogon.exe	0x775a0000	True	True	True	\Windows\System32\combase.dll
896	fontdrvhost.ex	0xf70000	True	False	True	\Windows\System32\fontdrvhost.exe
896	fontdrvhost.ex	0x31f0000	False	False	False	\Windows\Fonts\vgasys.fon
896	fontdrvhost.ex	0x74d60000	True	True	True	\Windows\System32\gdi32full.dll
896	fontdrvhost.ex	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
896	fontdrvhost.ex	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
896	fontdrvhost.ex	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
896	fontdrvhost.ex	0x75670000	True	True	True	\Windows\System32\kernel32.dll
896	fontdrvhost.ex	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
896	fontdrvhost.ex	0x74ed0000	True	True	True	\Windows\System32\win32u.dll
896	fontdrvhost.ex	0x76f10000	True	True	True	\Windows\System32\gdi32.dll
896	fontdrvhost.ex	0x77420000	True	True	True	\Windows\System32\user32.dll
936	fontdrvhost.ex	0xf70000	True	False	True	\Windows\System32\fontdrvhost.exe
936	fontdrvhost.ex	0x8f0000	False	False	False	\Windows\Fonts\vgasys.fon
936	fontdrvhost.ex	0x900000	False	False	False	\Windows\Fonts\sserife.fon
936	fontdrvhost.ex	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
936	fontdrvhost.ex	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
936	fontdrvhost.ex	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
936	fontdrvhost.ex	0x75670000	True	True	True	\Windows\System32\kernel32.dll
936	fontdrvhost.ex	0x74ed0000	True	True	True	\Windows\System32\win32u.dll
936	fontdrvhost.ex	0x74d60000	True	True	True	\Windows\System32\gdi32full.dll
936	fontdrvhost.ex	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
